MAIN_ID,RA,DEC,Distance_distance,FLUX_V
PN M  3-29,18 39 25.8182,-30 40 37.222,5.861,14.1
WRAY 16-182,15 25 32.6550,-52 50 37.942,10.33,15.2
NGC  7026,21 06 18.5723,+47 51 06.774,2.086,15.1
PN Vy  1-4,18 54 01.8931,-06 26 20.229,10.22,12.4
WRAY 16-413,18 31 52.8340,-24 46 17.691,15.88,16.3
WRAY 16-217,16 22 14.3332,-53 40 54.122,9.748,15.5
IC 4593,16 11 44.5479,+12 04 17.031,3.232,10.84
PN ARO  121,07 57 51.6169,+53 25 16.950,939.232,17.128
NGC  6818,19 43 58.022,-14 09 13.44,2.079,9.3
PN LoTr    5,12 55 33.7471,+25 53 30.559,454.938,8.88
PN M  2-5,17 02 19.0885,-33 10 04.843,8.229,15.08
PG 0057+155,00 59 56.6673,+15 44 13.740,0.837,12.32
WRAY 16-219,16 24 21.44,-54 36 03.2,4.909,15.0
V* CP Pup,08 11 46.0634,-35 21 04.986,813.14,15.227
WRAY 16-53,09 38 01.2104,-50 09 42.015,125.823,15.65
PN A66   84,23 47 44.0543,+51 23 57.161,1.388,18.584
PN H  1-20,17 30 43.8092,-28 04 06.841,7.601,16.0
M  76,01 42 19.6557,+51 34 31.534,1.436,17.48
PN Cn  2-1,17 54 33.010,-34 22 21.15,8.101,12.7
PN M  4-3,17 10 41.7794,-27 08 44.078,5.487,15.2
[DSH2001] 333-3,17 22 31.1535,-38 08 09.294,1499.7,15.6
PN A66   21,07 29 02.7096,+13 14 48.587,0.248,15.99
PN A66   18,06 56 14.659,-02 53 07.81,1.609,20.9
PN Pe  1-5,16 15 20.127,-49 13 21.59,3.071,13.7
PN M  3-16,17 52 46.0471,-30 49 35.021,6.805,17.007
Hen 2-427,19 11 30.8749,+16 51 38.200,0.696,11.5
PN A66   14,06 11 08.6567,+11 46 43.824,3.38,15.24
WRAY 16-135,13 45 22.3626,-71 28 56.118,7.175,12.8
PG 1520+525,15 21 46.5635,+52 22 03.867,771.962,16.6
IC 2149,05 56 23.9011,+46 06 17.204,3.113,11.35
PN M  1-46,18 27 56.3175,-15 32 54.434,3.621,12.83
Hen 2-446,19 44 05.2594,+23 26 47.957,2287.283,14.82
PN Th  3-26,17 31 09.30,-28 14 50.4,7.566,14.5
NGC  6807,19 34 33.53,+05 41 02.5,12.7,12.0
WRAY 16-147,14 11 52.0604,-51 26 24.187,4.721,14.2
PN M  2-8,17 05 30.70,-32 32 08.1,9.369,14.5
EM* AS  200,08 28 27.9571,-39 23 40.041,4.675,14.0
PN HaTr    7,17 54 09.4487,-60 49 57.659,1703.87,15.111
HD  55439,07 12 34.8109,-09 50 42.102,1237.317,8.59
Hen 2-459,20 13 57.8909,+29 33 55.874,8.252,12.67
WRAY 16-218,16 23 30.6466,-58 19 22.800,20.12,13.9
NGC  6741,19 02 37.10,-00 26 56.7,3.714,9.6
PN K  1-11,07 36 07.9179,+02 42 27.543,1.586,19.59
PN K  2-2,06 52 23.1654,+09 57 55.772,0.451,14.263
PN K  1-3,16 23 19.0090,-31 44 58.628,0.606,20.0
IC 4637,17 05 10.47,-40 53 07.7,2.424,9.2
PN M  3-38,17 21 04.4699,-29 02 59.700,14.22,16.0
PN Hb    4,17 41 52.8002,-24 42 08.330,5.096,17.0
PN K  1-28,10 34 30.6203,-29 11 15.215,2.727,16.0
PN M  1-34,18 01 22.146,-33 17 45.21,5.101,10.5
PN K  1-16,18 21 52.1086,+64 21 53.406,0.913,14.96
RCW  90,15 05 59.2054,-55 59 16.581,3.589,13.5
PN A66   72,20 50 02.0523,+13 33 29.525,1.167,16.07
WRAY 16-139,13 52 30.6807,-66 23 26.577,3.813,13.18
PN H  2-43,18 12 47.9863,-28 19 59.741,5.173,14.2
GSC 02801-02082,00 42 53.3895,+40 52 15.987,680.643,12.38
PN A66   71,20 32 23.216,+47 20 50.41,0.74,19.335
PN Pe  1-20,18 57 17.351,-05 59 51.79,6.212,15.1
V* V1023 Tau,04 18 47.0291,+28 20 07.493,127.393,12.0
Hen 2-325,18 01 06.3006,-26 21 26.097,1602.821,12.91
V* SV Car,09 48 20.6235,-59 32 11.643,1139.991,10.36
NGC  7408,22 55 56.8300,-63 41 40.813,48.65,15.41
IC 4634,17 01 33.5816,-21 49 33.015,3.97,11.3
PN H  2-20,17 45 39.81,-25 40 00.3,9.557,17.0
WRAY 16-205,16 10 41.0035,-54 57 34.657,2.048,12.9
PN V-V  3-5,18 36 32.2456,-19 19 29.071,1490.313,11.72
PN K  3-61,21 30 00.7565,+54 27 27.195,7.416,14.8
PN Lo   16,17 35 41.8805,-40 11 26.481,1820.167,16.14
PN Me  1-1,19 39 09.8202,+15 56 48.274,5.249,11.855
NGC  6803,19 31 16.4826,+10 03 21.620,5.334,11.616
PN M  1-42,18 11 04.99,-28 58 59.1,5.576,14.0
NGC  6565,18 11 52.4858,-28 10 42.421,4.714,12.2
PN H  1-54,18 07 07.2793,-29 13 05.972,12.48,13.9
PN KFL   16,18 16 53.9673,-26 23 24.102,7.151,14.1
WRAY 16-16,08 11 31.800,-48 43 17.70,1.764,12.4
PN M  2-26,18 03 11.92,-26 58 31.2,8.39,16.0
PN H  1-2,16 48 54.1065,-35 47 08.952,5.419,13.6
PN H  1-42,17 57 25.1720,-33 35 43.132,6.197,12.8
PN DdDm    1,16 40 18.1517,+38 42 20.033,26.0,13.9
PN Pe  2-2,09 09 03.6721,-44 17 44.447,2973.536,14.57
PN Mz    3,16 17 13.3915,-51 59 10.711,1.496,14.0
HD 184738,19 34 45.2337,+30 30 58.950,2.956,10.44
NGC  6886,20 12 42.8301,+19 59 22.632,5.159,11.719
NGC  6072,16 12 58.3635,-36 13 47.395,1.241,12.1
PN A66   30,08 46 53.4639,+17 52 46.369,1.722,14.3
PN M  3-20,17 59 19.35,-28 13 48.2,7.744,14.8
NGC  3242,10 24 46.1335,-18 38 32.296,1.107,12.15
EM* AS  201,08 31 42.8828,-27 45 31.543,2406.16,11.8
PN M  1-27,17 46 45.4755,-33 08 35.133,4.665,13.9
PN Pu    1,05 52 48.4555,+28 05 59.155,2.066,18.0
SH  2-167,23 35 30,+64 52.3,6.8,14.5
PN A66   13,06 04 47.896,+03 56 35.76,1.203,19.87
NGC  3699,11 27 57.8398,-59 57 28.454,1.988,13.0
WRAY 16-94,11 31 45.4605,-65 58 14.143,4.617,14.3
PN M  2-7,17 05 13.91,-30 32 19.7,7.24,15.5
PN Ps    1,21 29 59.3972,+12 10 26.275,10.12,14.06
NGC  2371,07 25 34.6883,+29 29 26.430,1.874,13.5
JaSt2  4,17 42 28.0559,-27 13 31.779,1412.03,16.459
NGC   246,00 47 03.3420,-11 52 18.971,0.48,11.76
M  97,11 14 47.7122,+55 01 08.482,0.693,15.777
HD 141969,15 56 01.6950,-66 09 09.231,4.869,10.95
PN M  1-6,06 35 45.1241,-00 05 37.396,5.812,15.84
[RP2006] J053141-711346,05 31 41.9375,-71 13 46.865,266.553,18.541
PN Pe  2-1,09 04 10.8814,-44 32 52.577,2030.457,15.13
PN MaC  1-7,17 51 23.2198,-31 13 46.462,1371.93,12.77
IC 3568,12 33 06.8549,+82 33 50.202,3.941,10.73
PN G197.4-06.4,05 59 24.8669,+10 41 40.411,579.878,17.226
[RP2006] J053544-665122,05 35 44.2344,-66 51 21.892,404.629,20.724
ESO 455-139,17 39 02.9171,-28 56 35.634,3.617,17.2
NGC  5882,15 16 49.9562,-45 38 58.616,2.389,10.9
PN M  1-19,17 03 46.8491,-33 29 44.433,10.93,13.87
[RP2006] J053119-705422,05 31 19.7934,-70 54 22.240,396.087,19.782
PN PC   14,17 06 14.75,-52 30 00.5,6.147,16.5
CD-49 11554,17 35 02.4970,-49 26 26.379,4205.214,10.74
PN M  3-41,17 25 59.82,-29 21 50.4,6.632,15.4
WRAY 15-1341,15 41 58.83,-56 36 25.6,3.866,14.5
THA 17-3,12 53 30.9035,-61 51 32.396,2033.76,11.11
IRAS 18348-0616,18 37 30.420,-06 14 14.49,7.7,16.14
M  27,19 59 36.3631,+22 43 16.312,0.242,14.089
NGC  6629,18 25 42.4541,-23 12 10.551,2.399,9.9
WRAY 16-172,15 18 20.7584,-59 38 17.324,6389.776,13.28
WRAY 16-144,14 05 36.75,-64 41 00.7,3.459,14.0
PN Pe  1-11,18 01 42.8863,-33 15 28.314,6.568,15.0
PN M  4-5,17 34 54.72,-26 35 57.3,8.05,17.5
WRAY 16-92,11 28 47.3900,-60 06 36.668,6.74,14.2
WRAY 16-163,15 06 01.90,-61 21 19.0,2.396,14.0
PN H  1-9,17 21 31.9113,-30 20 48.608,10.05,14.636
PN M  1-41,18 09 30.10,-24 12 26.0,0.858,15.0
PN H  1-50,18 03 53.5082,-32 41 42.015,10.68,12.8
NGC    40,00 13 01.0170,+72 31 19.033,1781.9,11.46
PN Fg    1,11 28 36.2243,-52 56 04.118,3.163,12.2
PN M  3-23,18 07 06.16,-30 34 17.8,4.302,14.5
EGB  4,06 29 33.9600,+71 04 36.394,371.996,13.27
CPD-57  2561,10 02 16.0088,-58 13 50.061,2511.301,11.82
NGC  7009,21 04 10.8155,-11 21 48.580,1.376,12.07
2MASS J00403465+4142071,00 40 34.6503,+41 42 07.165,299.5,13.0
NGC  2867,09 21 25.3832,-58 18 40.626,2.254,10.3
TK 1,08 27 05.5323,+31 30 08.311,551.177,15.725
PN M  3-45,17 52 05.96,-30 05 14.0,6.708,15.6
PN M  1-63,18 51 30.962,-13 10 36.58,9.884,14.09
PN K  4-11,19 03 33.9693,+08 44 24.259,772.26,14.98
PN VV   28,06 25 57.2710,+17 47 27.136,3.889,12.5
PN Hu  2-1,18 49 47.5610,+20 50 39.396,6.898,11.126
SH  2-216,04 43 21.2638,+46 42 05.835,127.559,12.87
PN PB    4,09 15 07.7471,-54 52 43.872,3.723,13.12
WRAY 16-156,14 33 17.97,-60 49 36.3,3.759,16.7
PN A66   35,12 53 32.7857,-22 52 22.569,0.227,9.69
[W65] c18,11 38 05.0961,-62 16 01.900,4492.363,13.921
WRAY 16-66,10 07 23.6183,-63 54 30.063,4.447,13.8
WRAY 16-195,15 59 08.85,-58 23 52.8,3.834,14.0
FP J1912-0331,19 12 31.4741,-03 31 31.861,124.474,14.14
IC 2501,09 38 47.1901,-60 05 30.807,2.815,10.0
WRAY 16-46,09 24 45.8351,-54 36 15.511,4.045,12.4
PN M  3-10,17 27 20.19,-28 27 51.2,9.442,14.4
WRAY 16-59,09 47 24.7963,-48 58 14.652,3.039,13.5
SV* HV  6516,14 15 59.6792,-61 53 50.267,1258.65,12.0
WRAY 16-174,15 19 29.6168,-57 22 25.201,2302.556,14.8
PN H  2-33,17 58 12.5489,-31 08 06.374,7.744,17.0
PN H  2-10,17 27 32.86,-28 31 06.9,14.23,16.1
PN Pe  1-1,10 38 27.5856,-56 47 07.226,6.569,14.178
PN M  1-11,07 11 16.6948,-19 51 02.898,4.975,13.5
PN M  3-26,18 16 11.44,-27 14 58.3,7.637,15.0
PN H  1-31,17 45 31.9673,-34 33 54.807,8.136,14.5
WRAY 16-184,15 38 01.2337,-58 44 42.445,3.474,15.0
PN M  2-42,18 22 32.08,-24 09 27.7,9.553,13.9
WRAY 16-157,14 40 30.9314,-52 34 56.917,3.085,13.7
PN H  1-15,17 28 37.6286,-24 51 07.218,9.157,15.1
IC 4699,18 18 32.0450,-45 59 01.735,7.781,12.71
TYC 6844-2864-1,18 23 36.8784,-22 36 22.551,2066.543,11.46
FP J1824-0319,18 24 40.8539,-03 19 59.515,195.244,14.99
PN SuWt    2,13 55 43.2309,-59 22 39.812,2258.356,11.52
PN A66   74,21 16 52.3412,+24 08 51.095,657.722,17.11
HD 316989,18 01 30.2486,-29 19 29.611,1661.406,10.66
PN A66   78,21 35 29.3816,+31 41 45.449,1.64,13.25
NGC  6751,19 05 55.5383,-05 59 32.288,2.653,15.48
2MASS J05422123+2236471,05 42 21.2357,+22 36 47.043,1396.063,11.44
IRAS 18067-2746,18 09 51.0497,-27 46 00.698,1080.03,13.0
IC 1297,19 17 23.4475,-39 36 46.253,4.965,10.89
PN M  3-9,17 25 43.3720,-26 11 55.407,3.362,15.8
WRAY 16-8,07 47 20.0414,-51 15 03.432,9.814,12.8
PN M  3-17,17 56 25.65,-31 04 17.2,11.71,16.5
WRAY 15-344,09 13 52.85,-55 28 17.2,12.64,13.7
[B61]  9,17 45 55.1802,-26 58 10.817,3289.474,12.8
WRAY 16-224,16 29 59.70,-54 09 28.0,2.046,14.0
WRAY 16-169,15 11 56.56,-55 39 46.6,2.684,13.0
IC 5148,21 59 35.0865,-39 23 08.233,1.08,16.5
NGC  4361,12 24 30.7510,-18 47 05.567,0.898,13.2
PN Bl M,17 53 47.118,-28 27 17.11,8.45,16.6
[RP2006]  277,05 41 26.7172,-68 48 01.426,160.238,20.16
NGC  6826,19 44 48.1500,+50 31 30.249,1.624,9.359
ESO 495-21,08 36 15.190,-26 24 33.66,7.8,11.45
[RP2006] J053612-711724,05 36 12.0463,-71 17 26.082,1947.8,15.327
PN M  3-42,17 26 59.85,-29 15 32.1,6.981,16.99
NGC  6905,20 22 22.9919,+20 06 16.285,1.782,14.5
PN M  2-43,18 26 40.0500,-02 42 57.364,3.215,15.7
PN K  4-48,06 39 55.842,+11 06 30.34,13.68,13.2
HD  62001,07 41 13.9029,-18 59 37.412,441.462,8.21
Ve 7-27,08 51 59.6873,-46 18 07.278,1405.679,13.88
PN Fg    3,18 00 11.8162,-38 49 52.619,8.369,11.18
PN A66   66,19 57 31.5028,-21 36 46.209,0.579,17.39
WRAY 16-136,13 49 32.5623,-61 31 42.272,3598.417,11.69
IRAS 20490+5934,20 50 13.5738,+59 45 51.124,484.848,10.32
NGC  6879,20 10 26.6930,+16 55 21.272,7.781,12.54
GPM 185.184111+29.334027,12 20 44.1558,+29 20 02.188,2010.454,15.6
WRAY 16-220,16 24 37.79,-53 22 34.1,5.375,15.0
NGC  6790,19 22 56.9729,+01 30 46.401,3.906,10.504
WRAY 15-1269,14 59 53.4819,-54 18 07.521,2072.968,11.64
Hen 2-447,19 45 22.1637,+21 20 03.923,6.116,11.04
PN Hu  1-2,21 33 08.3106,+39 38 09.554,3.355,12.0
WD 2218+706,22 19 33.6826,+70 56 03.182,335.312,15.495
NGC  2022,05 42 06.1904,+09 05 10.585,2.58,14.2
PN M  4-2,07 28 53.8248,-35 45 14.036,7.047,13.7
HD 316285,17 48 14.0372,-28 00 53.121,3322.26,9.6
HD 330036,15 51 15.9290,-48 44 58.559,8.167,10.892
NGC  1514,04 09 16.9855,+30 46 33.470,0.652,9.48
IC 4406,14 22 26.1440,-44 09 02.185,2.628,10.9
PN HaWe    5,03 45 26.6811,+37 48 52.217,320.821,17.439
NGC  2899,09 27 03.02,-56 06 21.1,1.026,12.4
WRAY 16-73,10 35 36.6900,-60 38 43.914,2857.143,12.6
CD-56  2932,09 43 25.6321,-57 16 55.530,2.455,11.171
[D75b] Em* 21-021,21 29 58.4711,+51 04 00.323,3735.525,14.2
HD 149427,16 37 42.7000,-55 42 26.393,6.576,11.23
PN M  1-38,18 06 05.74,-28 40 30.0,6.607,13.9
PN M  3-14,17 44 20.62,-34 06 40.6,5.765,14.9
M  57,18 53 35.0967,+33 01 44.883,0.842,15.769
IC 4997,20 20 08.7557,+16 43 53.698,6.041,11.15
NGC  5189,13 33 32.8780,-65 58 27.041,0.678,14.5
PN H  1-8,17 14 42.93,-33 24 47.4,8.984,13.6
NGC  6781,19 18 28.085,+06 32 19.29,0.714,11.8
PN A66   20,07 22 57.6730,+01 45 33.942,2.0,16.466
PN Sa  3-151,18 58 51.7175,-00 32 54.195,1255.966,13.1
EGB  5,08 11 12.7657,+10 57 17.099,627.668,14.2
PN M  2-12,17 24 01.4751,-25 59 23.283,8.494,12.5
V* BE UMa,11 57 44.8279,+48 56 18.313,1412.629,15.373
PN M  2-44,18 37 36.9561,-03 05 57.027,5.042,14.1
2MASS J23091627+6647306,23 09 16.2836,+66 47 30.303,710.026,14.8
EGB  6,09 52 58.9865,+13 44 34.622,647.0,15.999
PN My   47,09 19 27.50,-59 12 00.3,2.006,12.4
PN A66   31,08 54 13.1641,+08 53 52.941,0.238,15.544
PN M  2-23,18 01 42.6413,-28 25 44.117,4.312,13.0
PN Jn    1,23 35 53.3214,+30 28 06.336,988.728,15.62
PHR J1244-6601,12 44 59.5776,-66 01 03.997,2739.73,15.247
PN A66   15,06 27 02.0384,-25 22 49.700,3.734,15.72
PN M  2-4,17 01 06.2230,-34 49 38.610,7.083,14.4
TK 2,17 38 02.5440,+66 53 47.602,171.774,14.53
PN HDW    1,01 07 07.6233,+73 33 23.447,320.595,16.439
PN Pe  1-7,16 30 25.8656,-46 02 50.864,5.313,16.7
PN M  3-33,18 48 12.1403,-25 28 52.423,8.486,13.2
WRAY 16-117,12 30 30.4344,-64 52 05.689,6.0,15.0
PN M  1-65,18 56 33.6348,+10 52 09.588,9.297,14.89
HD 331319,19 49 29.5618,+31 27 16.248,3165.559,9.32
PN M  2-30,18 12 34.40,-27 58 10.5,9.553,14.0
WRAY 15-1440,16 15 42.2912,-59 54 01.013,7.566,13.08
WRAY 16-98,11 39 11.1965,-68 52 08.982,6.953,13.7
PN PB    3,08 54 18.3578,-50 32 22.600,4.949,14.4
IC 4662,17 47 09.192,-64 38 19.25,2.44,11.1
PN M  1-35,18 03 39.30,-26 43 33.9,6.164,14.5
UCAC3 156-201972,18 21 02.9274,-12 27 45.687,3372.681,15.21
PN K  3-7,18 34 13.60,-02 27 37.1,5.412,17.5
NGC  5873,15 12 50.8605,-38 07 31.585,5.508,9.7
NAME PN Pa 5,19 19 30.5039,+44 45 42.705,2303.086,15.67
PN H  2-17,17 40 07.4258,-24 25 42.592,10.84,16.0
[DSH2001] 520-9,17 45 52.4483,-26 08 49.200,1493.206,12.81
NGC  6563,18 12 02.50,-33 52 07.0,1.665,10.0
2MASS J00423413+4048190,00 42 34.1410,+40 48 19.109,775.916,14.07
PN M  3-1,07 02 49.9034,-31 35 29.173,5.139,12.7
PN HbDs    1,09 52 44.5227,-46 16 47.456,745.99,12.5
PN H  1-3,16 53 31.33,-42 39 22.8,2.137,14.0
PN PB    8,11 33 17.8152,-57 06 14.925,7.383,12.436
PN H  1-19,17 30 02.57,-27 59 17.5,12.07,16.3
PN H  1-65,18 20 08.8466,-24 15 05.268,7.87,14.3
PN Mz    2,16 14 32.3972,-54 57 04.660,2.391,13.0
PN M  1-12,07 19 21.4685,-21 43 55.402,9.237,14.08
WRAY 16-212,16 17 14.3671,-53 32 05.512,7.834,15.0
NAME PN AMU 1,19 31 08.8801,+43 24 57.692,1587.05,13.64
